Wavelength_1,Abs_1,Wavelength_2,Abs_2,Wavelength_3,Abs_3,Wavelength_4,Abs_4
1278,0.011365316,1278,0.011320039,1278,0.013067816,1278,0.021171985
1277,0.011421042,1277,0.011396672,1277,0.01315359,1277,0.021244559
1276,0.011441532,1276,0.011449585,1276,0.013144358,1276,0.021309778
1275,0.011473718,1275,0.011476801,1275,0.013174296,1275,0.021338843
1274,0.011546949,1274,0.011479991,1274,0.013230255,1274,0.021368207
1273,0.011603442,1273,0.011542536,1273,0.013239621,1273,0.021476878
1272,0.011604426,1272,0.011545008,1272,0.013279867,1272,0.021519501
1271,0.011630535,1271,0.011612881,1271,0.013370569,1271,0.021465184
1270,0.011720946,1270,0.011605836,1270,0.013370222,1270,0.021595262
1269,0.011723632,1269,0.011683131,1269,0.013401456,1269,0.021658029
1268,0.011756424,1268,0.011703952,1268,0.013460595,1268,0.021643799
1267,0.011774164,1267,0.011748818,1267,0.013487724,1267,0.021730604
1266,0.011816323,1266,0.011725627,1266,0.013449701,1266,0.021739585
1265,0.011827495,1265,0.011841407,1265,0.01357334,1265,0.021773985
1264,0.011898817,1264,0.011847871,1264,0.013586241,1264,0.021819413
1263,0.011903632,1263,0.011851755,1263,0.013567572,1263,0.021890571
1262,0.011953281,1262,0.011930744,1262,0.013678315,1262,0.021896234
1261,0.011995271,1261,0.011969991,1261,0.013700007,1261,0.021996703
1260,0.011980263,1260,0.012021084,1260,0.013707328,1260,0.021987472
1259,0.012025023,1259,0.012107025,1259,0.01381872,1259,0.02206612
1258,0.012064518,1258,0.012108382,1258,0.013875858,1258,0.022104006
1257,0.012110299,1257,0.012156084,1257,0.0139121,1257,0.022106132
1256,0.012165215,1256,0.012261169,1256,0.013999966,1256,0.022190331
1255,0.012187976,1255,0.012252861,1255,0.013977029,1255,0.022301387
1254,0.012241518,1254,0.012352803,1254,0.014091567,1254,0.02227482
1253,0.012311338,1253,0.012422186,1253,0.014160159,1253,0.022370391
1252,0.012364201,1252,0.012460573,1252,0.014240078,1252,0.022459466
1251,0.012384177,1251,0.01253802,1251,0.01426795,1251,0.022487381
1250,0.012499121,1250,0.012616947,1250,0.014340371,1250,0.02262431
1249,0.012538553,1249,0.012656736,1249,0.014432766,1249,0.022663718
1248,0.012619212,1248,0.012695862,1248,0.014450187,1248,0.022705093
1247,0.012728754,1247,0.012739257,1247,0.014482329,1247,0.022863645
1246,0.012797958,1246,0.012809263,1246,0.014503499,1246,0.022945182
1245,0.012825632,1245,0.012837524,1245,0.014536984,1245,0.023021737
1244,0.012870267,1244,0.012815021,1244,0.014566643,1244,0.02302766
1243,0.012922479,1243,0.012845603,1243,0.014561423,1243,0.023108272
1242,0.012994088,1242,0.012840937,1242,0.014543943,1242,0.023142289
1241,0.01296979,1241,0.01280497,1241,0.014545443,1241,0.023158154
1240,0.012963976,1240,0.012803078,1240,0.014532327,1240,0.023146385
1239,0.012971898,1239,0.012803877,1239,0.014555052,1239,0.023163969
1238,0.012922932,1238,0.012895492,1238,0.014564341,1238,0.023195287
1237,0.012945867,1237,0.012861148,1237,0.014659086,1237,0.023168257
1236,0.012956375,1236,0.01293616,1236,0.014712585,1236,0.023199849
1235,0.012983313,1235,0.013081795,1235,0.014813978,1235,0.023225654
1234,0.01303906,1234,0.013155191,1234,0.014931175,1234,0.02331985
1233,0.013086997,1233,0.013239355,1233,0.014998614,1233,0.023411769
1232,0.01318158,1232,0.013331516,1232,0.015084448,1232,0.023518467
1231,0.013313498,1231,0.01345715,1231,0.015197536,1231,0.023670156
1230,0.013431866,1230,0.013491729,1230,0.015225015,1230,0.023761876
1229,0.013498085,1229,0.013497444,1229,0.015239921,1229,0.023830783
1228,0.013563752,1228,0.013432479,1228,0.015190003,1228,0.023886491
1227,0.013598847,1227,0.013480087,1227,0.015176653,1227,0.023947349
1226,0.013549891,1226,0.013404927,1226,0.015177377,1226,0.023888679
1225,0.013489833,1225,0.013395931,1225,0.015141297,1225,0.023875415
1224,0.01353459,1224,0.013429062,1224,0.015147435,1224,0.02386412
1223,0.013444655,1223,0.013497123,1223,0.015249171,1223,0.023851512
1222,0.013537901,1222,0.013626519,1222,0.015391587,1222,0.023945434
1221,0.013641397,1221,0.013749754,1221,0.015524742,1221,0.024093412
1220,0.013738506,1220,0.013874763,1220,0.01559984,1220,0.024231179
1219,0.013856589,1219,0.013943027,1219,0.015701629,1219,0.024354694
1218,0.013991706,1218,0.013962995,1218,0.015733434,1218,0.024460364
1217,0.014044293,1217,0.013952329,1217,0.015690679,1217,0.024510756
1216,0.013989166,1216,0.013889329,1216,0.015601128,1216,0.024440344
1215,0.013964839,1215,0.013842986,1215,0.015597451,1215,0.024415372
1214,0.013869257,1214,0.013835182,1214,0.015554952,1214,0.024354421
1213,0.013892642,1213,0.013888367,1213,0.015668001,1213,0.02437805
1212,0.013929127,1212,0.014061325,1212,0.015811656,1212,0.024521986
1211,0.014101139,1211,0.014199234,1211,0.015981462,1211,0.024668245
1210,0.014251472,1210,0.014312894,1210,0.016097469,1210,0.024827817
1209,0.01438781,1209,0.014364531,1209,0.016083205,1209,0.024911532
1208,0.014400841,1208,0.014309336,1208,0.016058249,1208,0.02495038
1207,0.014360973,1207,0.014261317,1207,0.015993116,1207,0.024891904
1206,0.0142813,1206,0.014172489,1206,0.015905142,1206,0.024821978
1205,0.014220364,1205,0.014224028,1205,0.015999669,1205,0.024819156
1204,0.014293364,1204,0.014323916,1204,0.016135938,1204,0.024910737
1203,0.014471329,1203,0.014523734,1203,0.016325412,1203,0.025107451
1202,0.014619836,1202,0.014677507,1202,0.016424896,1202,0.025283867
1201,0.014663209,1201,0.014666878,1201,0.016451808,1201,0.025351562
1200,0.014731009,1200,0.014674776,1200,0.01639132,1200,0.025368905
1199,0.014973963,1199,0.014912287,1199,0.016643867,1199,0.025641995
1198,0.014546727,1198,0.014519827,1198,0.016269349,1198,0.025193743
1197,0.014535752,1197,0.014577109,1197,0.016358256,1197,0.025268612
1196,0.01462859,1196,0.014635069,1196,0.016419439,1196,0.025342505
1195,0.014737221,1195,0.014742015,1195,0.01654616,1195,0.025454646
1194,0.014866612,1194,0.014823031,1194,0.016611805,1194,0.025581723
1193,0.014878988,1193,0.01486321,1193,0.016636254,1193,0.025612861
1192,0.014757359,1192,0.014787114,1192,0.01654616,1192,0.025514239
1191,0.014745095,1191,0.014731036,1191,0.016525105,1191,0.025513472
1190,0.014788721,1190,0.014770563,1190,0.016566435,1190,0.025592487
1189,0.014901491,1189,0.01484679,1189,0.016648332,1189,0.025706559
1188,0.015048295,1188,0.015031573,1188,0.016821802,1188,0.025859151
1187,0.015111411,1187,0.015094418,1187,0.0168887,1187,0.025945373
1186,0.01505068,1186,0.01511251,1186,0.016897554,1186,0.025901435
1185,0.015029429,1185,0.015017049,1185,0.016815048,1185,0.025814068
1184,0.015010029,1184,0.014938596,1184,0.016767666,1184,0.025852777
1183,0.014917002,1183,0.014958154,1183,0.016650617,1183,0.025822913
1182,0.015229358,1182,0.015199493,1182,0.017019406,1182,0.026130021
1181,0.015341733,1181,0.015330711,1181,0.017117489,1181,0.026257103
1180,0.01530521,1180,0.01532583,1180,0.017131194,1180,0.026179012
1179,0.01525582,1179,0.015272819,1179,0.017069589,1179,0.026119573
1178,0.015284536,1178,0.015244345,1178,0.017077452,1178,0.026199551
1177,0.015346453,1177,0.015316928,1177,0.017087791,1177,0.026309107
1176,0.015482088,1176,0.015429727,1176,0.017219741,1176,0.026425321
1175,0.015557365,1175,0.01554261,1175,0.017337184,1175,0.026491158
1174,0.015503602,1174,0.01556579,1174,0.017345591,1174,0.026439242
1173,0.015488499,1173,0.015477527,1173,0.017301006,1173,0.026432611
1172,0.015516774,1172,0.015495581,1172,0.017298017,1172,0.026513664
1171,0.015634241,1171,0.015575262,1171,0.017370081,1171,0.026613392
1170,0.015713759,1170,0.01563907,1170,0.017482365,1170,0.026709648
1169,0.015709117,1169,0.01574119,1169,0.017557506,1169,0.026763413
1168,0.01572624,1168,0.015695268,1168,0.017541898,1168,0.026705243
1167,0.015699536,1167,0.015711667,1167,0.01750139,1167,0.026737258
1166,0.015733648,1166,0.015768945,1166,0.017544728,1166,0.026831392
1165,0.015918165,1165,0.015810823,1165,0.017631689,1165,0.026979174
1164,0.015927698,1164,0.015904525,1164,0.017702676,1164,0.026960995
1163,0.015921388,1163,0.015961131,1163,0.017750269,1163,0.026980525
1162,0.015925201,1162,0.015964353,1162,0.017732713,1162,0.026992837
1161,0.015962474,1161,0.015929604,1161,0.017731311,1161,0.027054682
1160,0.016113829,1160,0.016056074,1160,0.01783406,1160,0.027216375
1159,0.016144428,1159,0.016118288,1159,0.017930789,1159,0.027254988
1158,0.016117107,1158,0.016187094,1158,0.017996429,1158,0.027261933
1157,0.016099995,1157,0.01612393,1157,0.017944168,1157,0.027266206
1156,0.016201738,1156,0.016165707,1156,0.017931679,1156,0.027352488
1155,0.016258921,1155,0.016241105,1155,0.01809144,1155,0.02745522
1154,0.016323799,1154,0.016311275,1154,0.018128332,1154,0.027464293
1153,0.016351162,1153,0.016298668,1153,0.018136807,1153,0.027486134
1152,0.016379438,1152,0.016401293,1152,0.018167226,1152,0.027567824
1151,0.016475307,1151,0.016436618,1151,0.018196162,1151,0.027627381
